sku,slug,field,issueType,currentValue,suggestedAction
"KH-KR-KRAFT-080-RAW-001","kh-kr-kraft-080-raw-001-single-sided-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-KRAFT-120-RAW-002","kh-kr-kraft-120-raw-002-double-sided-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-WKRAFT-150-PR-003","kh-kr-wkraft-150-pr-003-white-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-YKRAFT-180-PR-004","kh-kr-ykraft-180-pr-004-yellow-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-FOODK-100-OIL-005","kh-kr-foodk-100-oil-005-food-grade-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-PEKRAFT-120-PE-006","kh-kr-pekraft-120-pe-006-pe-coated-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-OILK-80-OIL-007","kh-kr-oilk-80-oil-007-greaseproof-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-PRKRAFT-200-PR-008","kh-kr-prkraft-200-pr-008-printed-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-KCARDB-300-MC-009","kh-kr-kcardb-300-mc-009-kraft-cardstock","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-KFLUTE-250E-MT-010","kh-kr-kflute-250e-mt-010-kraft-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-WHITE-210-PR-011","kh-wc-white-210-pr-011-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-FOODW-230-OIL-012","kh-wc-foodw-230-oil-012-food-grade-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-SBS1-250-PR-013","kh-wc-sbs1-250-pr-013-single-side-coated-white-board","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-SBS2-300-LM-014","kh-wc-sbs2-300-lm-014-double-side-coated-white-board","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-BOXMAT-350-CR-015","kh-wc-boxmat-350-cr-015-white-cardboard-box-material","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-PAD-400-MC-016","kh-wc-pad-400-mc-016-white-cardboard-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-INSERT-450-MC-017","kh-wc-insert-450-mc-017-white-cardboard-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-WFLUTE-300E-MT-018","kh-wc-wflute-300e-mt-018-white-cardboard-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-PRINTW-350-UV-019","kh-wc-printw-350-uv-019-printed-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-PEWHITE-300-PE-020","kh-wc-pewhite-300-pe-020-pe-coated-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-FOODW-210-RAW-021","kh-fd-foodw-210-raw-021-food-grade-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-FOODK-120-RAW-022","kh-fd-foodk-120-raw-022-food-grade-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-GREASE-040-OIL-023","kh-fd-grease-040-oil-023-greaseproof-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-BURGER-050-PR-024","kh-fd-burger-050-pr-024-burger-wrapping-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-SANDW-060-PR-025","kh-fd-sandw-060-pr-025-sandwich-wrapping-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-BAKING-070-OIL-026","kh-fd-baking-070-oil-026-baking-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-CAKEPAD-230-MC-027","kh-fd-cakepad-230-mc-027-cake-pad-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-PIZZAP-120-MC-028","kh-fd-pizzap-120-mc-028-pizza-liner-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-TRAYP-250-PE-029","kh-fd-trayp-250-pe-029-food-tray-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-BOXP-300-CR-030","kh-fd-boxp-300-cr-030-food-box-paper-material","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-SFLUTE-E-RAW-031","kh-cg-sflute-e-raw-031-single-face-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-DFLUTE-F-RAW-032","kh-cg-dflute-f-raw-032-double-wall-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-TFLUTE-G-RAW-033","kh-cg-tflute-g-raw-033-triple-layer-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-EFLUTE-E-MC-034","kh-cg-eflute-e-mc-034-e-flute-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-FFLUTE-F-MC-035","kh-cg-fflute-f-mc-035-f-flute-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-GFLUTE-G-MC-036","kh-cg-gflute-g-mc-036-g-flute-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-COLORF-E-DC-037","kh-cg-colorf-e-dc-037-colored-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-BLACKF-F-DC-038","kh-cg-blackf-f-dc-038-black-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-WHITEF-E-MT-039","kh-cg-whitef-e-mt-039-white-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-KFLUTE-E-MT-040","kh-cg-kflute-e-mt-040-kraft-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-BKFLUTE-F-MT-041","kh-cg-bkflute-f-mt-041-black-card-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-WCFLUTE-E-MT-042","kh-cg-wcflute-e-mt-042-white-card-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-SPFLUTE-G-MT-043","kh-cg-spflute-g-mt-043-specialty-paper-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-LOGOF-E-EM-044","kh-cg-logof-e-em-044-logo-embossed-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-SECFLUTE-F-AF-045","kh-cg-secflute-f-af-045-anti-counterfeit-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-CG-BOXFLUTE-E-CR-046","kh-cg-boxflute-e-cr-046-corrugated-box-semi-finished-sheet","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-GOLD-300-FG-047","kh-sp-gold-300-fg-047-gold-card-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-SILVER-300-FS-048","kh-sp-silver-300-fs-048-silver-card-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-LASER-250-UV-049","kh-sp-laser-250-uv-049-holographic-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-PEARL-230-LM-050","kh-sp-pearl-230-lm-050-pearlescent-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-BLACK-350-AS-051","kh-sp-black-350-as-051-black-card-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-COLOR-250-DC-052","kh-sp-color-250-dc-052-colored-specialty-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-SECURE-200-AF-053","kh-sp-secure-200-af-053-anti-counterfeit-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-ANTIS-300-AS-054","kh-sp-antis-300-as-054-anti-scratch-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-SCENT-180-SC-055","kh-sp-scent-180-sc-055-scented-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SP-SPFLUTE-300G-MT-056","kh-sp-spflute-300g-mt-056-specialty-paper-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-BURGERBOX-300-MC-001","kh-bx-burgerbox-300-mc-001-burger-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-PIZZABOX-E-CR-002","kh-bx-pizzabox-e-cr-002-pizza-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-CAKEBOX-350-LM-003","kh-bx-cakebox-350-lm-003-cake-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-SANDWBOX-300-PR-004","kh-bx-sandwbox-300-pr-004-sandwich-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-TAKEOUT-320-PE-005","kh-bx-takeout-320-pe-005-takeaway-food-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-CHICKEN-350-PR-006","kh-bx-chicken-350-pr-006-fried-chicken-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-TRAY-300-PE-007","kh-bx-tray-300-pe-007-food-paper-tray","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-SLEEVE-250-PR-008","kh-bx-sleeve-250-pr-008-food-paper-sleeve","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-FOODPAD-080-OIL-009","kh-pd-foodpad-080-oil-009-food-liner-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-BAKERY-350-PR-010","kh-bx-bakery-350-pr-010-bakery-packaging-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-CAKEPAD-350-MC-011","kh-pd-cakepad-350-mc-011-cake-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-PIZZAPAD-120-MC-012","kh-pd-pizzapad-120-mc-012-pizza-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-FOODPAD-150-OIL-013","kh-pd-foodpad-150-oil-013-food-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-COSPAD-350-AS-014","kh-pd-cospad-350-as-014-cosmetic-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-ELECPAD-400-MC-015","kh-pd-elecpad-400-mc-015-electronics-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-GIFTPAD-350-EM-016","kh-pd-giftpad-350-em-016-gift-box-inner-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-SHOCKPAD-E-MT-017","kh-pd-shockpad-e-mt-017-shock-absorbing-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-ROUND-300-MC-018","kh-pd-round-300-mc-018-round-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-SQUARE-300-MC-019","kh-pd-square-300-mc-019-square-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-PD-DIECUT-300-MC-020","kh-pd-diecut-300-mc-020-custom-die-cut-paper-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-COSINS-400-MC-021","kh-in-cosins-400-mc-021-cosmetic-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-PERFINS-400-AS-022","kh-in-perfins-400-as-022-perfume-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-ELECINS-E-MT-023","kh-in-elecins-e-mt-023-electronics-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-GIFTINS-400-EM-024","kh-in-giftins-400-em-024-gift-box-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-WINEINS-E-MT-025","kh-in-wineins-e-mt-025-wine-box-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-TEAINS-350-PR-026","kh-in-teains-350-pr-026-tea-box-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-FOODINS-300-PE-027","kh-in-foodins-300-pe-027-food-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-CORGINS-E-MT-028","kh-in-corgins-e-mt-028-corrugated-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-WHITEINS-400-MC-029","kh-in-whiteins-400-mc-029-white-cardboard-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-IN-SPINS-350-UV-030","kh-in-spins-350-uv-030-specialty-paper-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-DIECUT-350-MC-031","kh-sf-diecut-350-mc-031-die-cut-semi-finished-sheet","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-CREASE-350-CR-032","kh-sf-crease-350-cr-032-creased-semi-finished-sheet","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-LAMIN-E-MT-033","kh-sf-lamin-e-mt-033-laminated-semi-finished-sheet","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-FLUTESHT-E-CR-034","kh-sf-flutesht-e-cr-034-corrugated-box-blank","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-FOLDBL-350-CR-035","kh-sf-foldbl-350-cr-035-folding-box-blank","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-COLORBL-350-PR-036","kh-sf-colorbl-350-pr-036-printed-color-box-blank","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-FOODBL-300-OIL-037","kh-sf-foodbl-300-oil-037-food-box-blank","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-GIFTBL-400-EM-038","kh-sf-giftbl-400-em-038-gift-box-semi-finished-sheet","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-COSBL-350-AS-039","kh-sf-cosbl-350-as-039-cosmetic-box-semi-finished-sheet","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-SF-SHAPEBL-350-MC-040","kh-sf-shapebl-350-mc-040-custom-shape-box-blank","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-WHITEBOX-350-PR-041","kh-bx-whitebox-350-pr-041-white-cardboard-packaging-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-KRAFTBOX-300-PR-042","kh-bx-kraftbox-300-pr-042-kraft-paper-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-CORBOX-E-CR-043","kh-bx-corbox-e-cr-043-corrugated-paper-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-COLORCOR-E-DC-044","kh-bx-colorcor-e-dc-044-colored-corrugated-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-COSBOX-350-AS-045","kh-bx-cosbox-350-as-045-cosmetic-packaging-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-ELECBOX-E-MT-046","kh-bx-elecbox-e-mt-046-electronics-packaging-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-FOODBOX-320-PE-047","kh-bx-foodbox-320-pe-047-food-packaging-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-GIFTBOX-400-FG-048","kh-bx-giftbox-400-fg-048-gift-packaging-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-FOLDBOX-350-CR-049","kh-bx-foldbox-350-cr-049-folding-carton","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-BX-ONEPIECE-350-MC-050","kh-bx-onepiece-350-mc-050-one-piece-paper-box","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
